,mission_range,cruise_speed,duration,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
21,20,180,0.2,1073.144901191567,3.1463113815364325,444.0599077927061,0.063946083,0.34084638368149967,9.845693132760598,11.999999995166073,12.000000002492735,1.3590375227793922e-07,600,109.20063092338246,128.29503043737014,172.87867684387277,62.77019433568057,108.99637909907841,89.66367820935808,89.42874174738708,84.55460280998217,84.76862544247851,84.55460280998217,18.564107256975017
22,20,216,0.18148148148148147,1071.3506383665772,3.143680016179318,362.6043554217359,0.096316264,0.5000000000012534,9.845693131096674,10.283765736354868,11.99999999997244,2.0006123745529582e-07,600,107.55344516150403,128.33092797813617,172.80224151824802,62.66357642663313,108.81414077215341,104.72749972009431,89.27921986408649,84.55460284549926,84.99179245066651,84.55460284549926,18.284085677455685
23,20,252,0.16825396825396827,1100.4562223063378,2.6509419414148585,501.2244767351608,0.10248973752372663,0.5000000002755622,8.466026046387812,8.503359950156527,9.984413507900534,1.585702368427167e-06,600,122.2956686599213,138.1798773,175.5870439676175,64.39489164,129.9849795260042,130.21143860913034,110.21741251357042,122.13907532033728,122.8796639177445,122.13907532033728,20.79026367218662
24,20,288,0.15833333333333333,1139.3722233552887,2.358162827866927,642.9042834773292,0.10317011112492627,0.5000014710890442,7.555281381929548,6.905668777849803,8.728702736421774,1.9658159286900698e-07,600,140.15021788828494,153.85286393748143,178.6529313057712,66.71576684852307,150.80473721076734,166.27611235884117,130.53167896314002,159.8086707452036,161.0381506752346,159.8086707452036,23.825537041008438
25,20,324,0.15061728395061727,1182.4524967463367,1.9692616501519253,865.3099605660852,0.12164701326017127,0.5000000016718236,6.3557347694024315,6.054901584518356,7.1551756598771625,5.850148344570873e-05,600,162.01428547326432,168.09286605657843,183.06010784380194,69.29288599893768,186.04497192659144,196.99054121961026,165.25834625933368,237.8258982586223,239.87575913448924,237.8258982586223,27.542428530454934
26,20,360,0.14444444444444443,1238.2568959752227,1.94898329,968.0537432774169,0.10645822884395573,0.5000000007965201,6.170779568311026,4.757265041700158,6.920085589758618,9.578515507398403e-07,600,183.9265105726263,195.5979104375026,186.09014712623872,72.64330653776221,200.66458091196085,263.4797241763027,178.9366446287574,254.25928075372772,257.35289852664164,254.25928075372772,31.267506797346474
27,20,396,0.1393939393939394,1300.985380397868,1.6978945054346146,1220.0232380284956,0.1224910120540968,0.5000121129626736,5.335270976,4.1780512103475616,5.881433932133685,0.000547112,600,213.91990708064228,218.9346429265712,191.7287556416296,76.42546516439954,243.84616755189668,315.7936504008145,221.20207340761414,351.9924112397125,356.9410472759569,351.9924112397125,36.36638420370918
28,20,432,0.13518518518518519,1378.6906889802056,1.5592605326612978,1445.020342588885,0.13047897448092427,0.49999966016514763,4.8097486277268775,3.5884141512054506,5.246793756991949,3.479510418877277e-06,600,248.50389978241998,251.3123296628445,197.7427081029196,81.13361677660602,286.6450610396629,390.7999985625848,262.7682262415867,442.29472503546447,449.8425045376177,442.29472503546447,42.24566296301139
29,20,468,0.1316239316239316,1467.6822951084944,1.6502350592103288,1470.2752895139088,0.10758650154374846,0.5000000756847939,4.922622707649923,2.9034607797280216,5.381935762972093,1.1462890971020637e-05,600,277.61263053089897,302.1482235706025,201.3620343702946,86.55602095,298.15047430461533,517.2688047785849,272.70527924287023,420.3612999079878,430.1118223258079,420.3612999079878,47.19414719025282
30,20,504,0.1285714285714286,1583.1191890643543,1.7302590463582128,1500,0.09287942,0.5000002320817937,4.965378887397348,2.405247782,5.433292053230483,1.1060143890453801e-05,600,316.0180545734673,367.02468155170936,206.4431236203186,93.63665499832204,318.83149805193653,678.0794993599252,291.3738436208442,412.4522203718308,424.8727983837003,412.4522203718308,53.72306927748943
