Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
338,140.0,200.0,0.7888888888888889,8064.259149577611,4.300796129396229,521.6201074148694,0.099533846470246,0.2363694797052935,5.418941534141091,11.999999929888986,5.98377626023096,5.691447589965517e-05,600.0,4818.97619815523,1858.1010994305004,350.61663850715513,436.5727576530629,1488.1613131956049,672.337801015545,1347.6872795485085,340.0549125788858,340.1823739921789,340.0549125788858,819.2259536863891,0.0268104263783522,2424.774567409047
339,140.0,210.0,0.7555555555555555,6026.027486272892,3.911529453591583,548.0046968261623,0.098510616486627,0.2596907430502864,5.672082736174773,11.999999996917712,6.295638444266581,5.2364457692730906e-05,600.0,3477.0980801014352,1341.0077061584898,292.253423192605,315.6755131493825,1062.401196625848,502.51691363963965,957.1749616213708,307.19927656952103,307.38273261700556,307.19927656952103,591.106673617244,0.0266604592910372,2198.9196979403073
340,140.0,220.0,0.7252525252525253,5079.825049471016,3.5519958065973705,580.0465034485055,0.1090224452320645,0.2829956926535241,5.616347132010881,12.000000000512925,6.226683550571934,2.787708618726279e-05,600.0,2860.700240003879,1090.492967313207,267.1942364914648,261.44288553805006,904.4713458892332,423.68587774620465,815.8155153082131,314.04085892638597,314.28314665623674,314.04085892638597,486.3190408006594,0.0277831019147128,2073.8671199255555
341,140.0,230.0,0.697584541062802,4495.12305051785,3.786035988627997,483.2717611261878,0.1077240123255367,0.3329920943447829,6.277435500741401,12.000001415781655,7.055416779157308,9.34302074809999e-05,600.0,2427.1737443117418,994.1304029657138,245.21559548829663,228.61297368234187,716.0763420009572,375.0998798181738,637.1165859112781,244.5988432811556,244.90603859932628,244.5988432811556,412.6195365329961,0.024720558149285,2291.360191515804
342,140.0,240.0,0.6722222222222223,4042.609708104961,3.43298013972745,506.92027955159494,0.1302759579067959,0.3652652006777341,6.032873207121914,12.000000101624462,6.7460431030577,8.89055211454836e-05,600.0,2146.5254405147925,857.6982976910666,234.79995400999627,203.59544486153885,670.0969122527868,337.3971679027418,599.2564302283533,267.5478852721721,267.9296937275512,267.5478852721721,364.9093248875147,0.0263601648086633,2187.37442658675
343,140.0,250.0,0.6488888888888888,4066.90913074061,3.598510355541676,446.47203399268653,0.140000000025105,0.4119598054457108,6.273305507701456,11.689755608724033,7.05016450065082,6.04206676267019e-05,600.0,2147.356117434636,880.9204609977932,233.7105463336893,204.92977904773429,648.2880716948742,348.574862744038,576.8530834089308,244.96342478554604,245.4125285808546,244.96342478554604,365.0505399638881,0.0250375059152861,2477.0030399037987
344,140.0,260.0,0.6273504273504272,4467.7720565321,3.689923478645792,445.0940021172409,0.1400001294316938,0.419052911279587,6.152790886028152,11.119962881573604,6.8973233145750426,3.13711220231719e-05,600.0,2418.7661073430654,976.4542751936132,245.46636686740513,227.09090812096585,726.1374779821597,402.61683931602954,647.754477028944,255.94024286746216,256.4491713012236,255.94024286746216,411.19023824832107,0.0251404646952027,2828.5552116953645
345,140.0,270.0,0.6074074074074075,4961.302718844317,3.7344241409127505,457.93882558769127,0.1399999973972345,0.4178937012353872,5.935842546644561,10.602042287479147,6.624216323277008,3.4392092956904996e-05,600.0,2758.5876673534503,1087.27989311873,260.6852526038645,254.7440412910607,835.8211458369736,468.9665932749696,748.9644777165058,277.47939125126754,278.05128241740266,277.47939125126754,468.9599034500865,0.0257112755631035,3195.276009493239
346,140.0,280.0,0.5888888888888889,5660.88660129849,3.684806014936067,502.3985334297405,0.1400000000598232,0.4003789010978143,5.529047970779227,10.123689428302674,6.119009535885292,7.711746815420529e-05,600.0,3249.7652461225507,1232.3657734671742,284.1716456105357,294.5927177534352,1023.8447253878106,560.3229082245548,925.1311945339988,325.1902276664381,325.828208093026,325.1902276664381,552.4600918408337,0.0273659729285185,3560.9523186788215
347,140.0,290.0,0.571647509578544,6406.330086672092,3.926088550792653,470.8283579436561,0.1400000000035259,0.4152082294884882,5.536869966647426,9.72993294700261,6.128640724536677,4.444927442976252e-05,600.0,3736.347160719851,1427.8511284561082,304.3084861320724,337.82997839296587,1157.0309805471418,659.8993307529257,1045.3101062073447,324.1689547222053,324.86887241305436,324.1689547222053,635.1790173223746,0.0266234876874635,4218.820701708121
