,mission_range,cruise_speed,duration,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
31,20.0,540.0,0.12592592592592594,2208.098230689632,6.663997636928571,6.1732611330382205,1.383679478205117,1.9999999997595497,1499.999998778284,0.28621116785874606,0.004165787909438024,1.5000000014020538,4.773019753752426,0.43377159810515675,5.202954534062675,4.0763669322267875,52035.167352252385,600.0,456.3805401934583,724.8495250657498,522.1647247319078,132.815622206327,462.62080288976006,1041.838233995579,424.3931435944071,449.7795280514271,352.4537624420169,449.7795280514271,77.58469183288791
32,20.0,576.0,0.12361111111111112,100.00000000000166,24.999997890164234,10.988593892785275,1.3732980767103429,2.0,1500.0,0.003036725953554423,0.006473208547645327,1.6,16.386817636042352,0.4725521272805686,24.26546050715156,-5.638477782105632,2780762.3574454067,600.0,306.0670993680844,547.8172034550685,306.5225405336671,7.1549568309307645,6.102466154261363,1486.0524086671956,4.121083956784149,20.67867324020227,547.6771169231853,20.67867324020227,52.031406892574346
33,30.0,36.0,0.9222222222222223,282.2309152943024,25.0,6.0,1.1409890843381885,2.0,100.00000308748601,2.194068154981257,0.08713662157024506,1.4999999536877116,9.84608858165542,8.453145876394668,12.000598982172782,-2.9216108361909647,468467.4348179339,600.0,37.66926805410132,23.89942942401001,287.7906029871386,17.318424170679805,28.6642673335416,4.970088387527153,23.518069032517804,84.54616236045679,32.7659846139505,84.54616236045679,6.403775569197225
34,30.0,72.0,0.5055555555555555,552.5987087407549,25.0,6.0,1.6656470903133274,1.6622636159146424,260.21118061301416,1.073978047432858,0.0334266499129621,1.387156298602913,10.18578328864357,4.421141220111362,12.519926621083835,0.2263371996598682,291564.46128191805,600.0,53.9293303078652,60.659515148221,345.4794497570374,32.49750630451342,54.251960117477026,11.778004523779636,44.13753574323402,77.67766803051917,58.79048520423884,77.67766803051917,9.167986152337082
35,30.0,108.0,0.36666666666666664,1146.9412069050518,24.999999999999854,6.000000000000051,1.6279250317829308,1.5488129154766073,428.7693079124956,0.9907045934284214,0.03314263746055447,1.3552513784807316,7.380175198485253,2.93400950287851,8.493516776271058,4.848477473728963e-06,64696.587700215445,600.0,133.44293154386395,162.20548487176237,438.48007347601845,67.16795619714281,155.4083983183023,36.01061392657129,135.03725690038584,168.78142459475444,137.40257032241118,168.78142459475444,22.68529836245687
36,30.0,144.0,0.2972222222222222,1646.5127834918394,25.0,6.0,1.6279242237386002,1.32901692208598,688.4720177329357,0.8000012288833412,0.032746309411154126,1.311488364259823,6.303701617347064,2.1859013994367875,7.088843001287688,2.1150547979686962e-10,427.87074288071074,600.0,208.92831105687566,257.3505025244271,503.3720651788496,97.54694142202702,261.19776655684734,66.75567194447416,232.26819710815298,242.29755406690296,257.72613253466585,242.29755406690296,35.51781287966886
37,30.0,180.0,0.25555555555555554,1712.3301317496268,25.0,6.0000001236260205,1.6279241066014654,1.0922146648491138,1056.4271610583135,0.5324673959221025,0.03261649519775828,1.3000010322453242,6.195400635550445,1.7455236234267837,6.951269569331288,-8.224778174081848e-07,8.810648111500887e-08,600.0,222.3714307359369,276.8728995273991,511.4633821244161,101.62271618923384,276.38731253697057,89.43024916357705,246.3334380390535,251.98314069894178,408.2205872877627,251.98314069894178,37.803143225109274
38,30.0,216.0,0.22777777777777777,1769.6657436644327,24.999996570131565,6.000000011110728,1.6279243261580416,1.0,1384.6155485828717,0.38215041256217674,0.03182097757149621,1.2999998460527664,6.105632146239606,1.4545346843981657,6.837735807059541,1.4020909517853397e-06,8.396760409690661e-08,600.0,244.6687529196318,301.36467596677755,518.4463304578002,105.18627409186456,289.84152685227707,126.3890917623247,258.8087334168954,260.4204665469883,573.5013085230789,260.4204665469883,41.5936879963374
39,30.0,252.0,0.20793650793650792,1864.5015951805733,24.999999893213296,6.000000351138455,1.6281476347265469,1.2482762153791944,1288.8868260119614,0.29580956373573974,0.01861417953633252,1.3052503384124756,5.9663651028177185,1.2204623655972133,6.662483230269522,0.0013401505283940907,5.942256930519044e-07,600.0,282.5446043721529,340.9811070076415,529.870051951142,111.10660270999583,312.5020951701448,185.37604272360053,279.85085001184274,274.30106151843944,452.95738644109167,274.30106151843944,48.03258274326599
40,30.0,288.0,0.19305555555555556,1981.6226288819803,22.85440132241709,6.000481704280821,1.542967350606788,1.2301819878450762,1496.7530803352638,0.26330352191393264,0.01726469849698313,1.3034420191173899,5.5334999059326755,1.0607441085823706,6.124490789212315,0.0002948671198552688,1.0480706514685595e-05,600.0,330.150108985082,392.44992764092706,540.5640742453809,118.46175540252138,358.113791012702,251.64476233108067,323.55712451595366,324.60841524924473,550.2506123865742,324.60841524924473,56.125518527463946
